Employee Data:,,,,,,,
"This includes details like employee name, ID, position, and status.",,,,,,,
Employee ID,First Name,Last Name,Email,Phone Number,Hire Date,Position,Status
1,John,Doe,john.doe@example.com,123-456-7890,01/15/2023,Software Developer,Active
2,Jane,Smith,jane.smith@example.com,234-567-8901,05/20/2022,Project Manager,Active
3,Alice,Johnson,alice.johnson@example.com,345-678-9012,07/10/2021,UX Designer,On Leave
4,Bob,Brown,bob.brown@example.com,456-789-0123,03/05/2020,Data Analyst,Active
5,Charlie,White,charlie.white@example.com,567-890-1234,08/12/2021,HR Specialist,Active
,,,,,,,
Timesheet Data:,,,,,,,
"The timesheet records employee working hours, overtime, and regular hours for a given date.",,,,,,,
Timesheet ID,Employee ID,Date,Start Time,End Time,Hours Worked,Overtime Hours,
1,1,11/25/2024,8:00:00,17:00:00,8,0,
2,2,11/25/2024,9:00:00,18:00:00,8,1,
3,3,11/25/2024,10:00:00,17:00:00,7,0,
4,4,11/25/2024,8:30:00,17:30:00,8,0.5,
5,5,11/25/2024,9:00:00,18:00:00,8,0,
,,,,,,,
Attendance Data:,,,,,,,
This table tracks whether employees are present or absent on any given day.,,,,,,,
Attendance ID,Employee ID,Date,Status,,,,
1,1,11/25/2024,Present,,,,
2,2,11/25/2024,Present,,,,
3,3,11/25/2024,On Leave,,,,
4,4,11/25/2024,Present,,,,
5,5,11/25/2024,Present,,,,
,,,,,,,
Shift Data:,,,,,,,
This table lists different shifts and their start and end times.,,,,,,,
Shift ID,Shift Name,Start Time,End Time,,,,
1,Morning Shift,8:00:00,16:00:00,,,,
2,Afternoon Shift,12:00:00,20:00:00,,,,
3,Night Shift,22:00:00,6:00:00,,,,
,,,,,,,
Employee_Shift Data:,,,,,,,
This table associates each employee with a specific shift on a given day.,,,,,,,
Employee ID,Shift ID,Shift Date,,,,,
1,1,11/25/2024,,,,,
2,2,11/25/2024,,,,,
3,1,11/25/2024,,,,,
4,1,11/25/2024,,,,,
5,2,11/25/2024,,,,,
